,ID,query,context
11,q12,Bitte schreibe mir einen Text zum Thema Politik in Deutschland,situative
13,q14,"Напиши мне, пожалуйста, текст к теме политика в Германии",situative
15,q16,"Как сказать ""я хочу пойти к врачу"" на немецком?",situative
16,q17,"""Ben hasta oldum"" cümlesini Almanca nasıl söylerim?",situative
17,q18,"Як сказати ""я хочу піти до лікаря"" німецькою?",situative
18,q19,Какие глаголы часто используются на кухне?,situative
19,q20,Almancada mutfakta kullanılan yaygın fiiller nelerdir?,situative
20,q21,Які дієслова часто використовуються на кухні?,situative
21,q22,"كيف أقول ""أريد الذهاب إلى الطبيب"" بالألمانية؟",situative
22,q23,ما هي الأفعال الشائعة التي تستخدم في المطبخ؟,situative
30,q31,"كيف أقول ""أحتاج إلى مساعدة"" بالألمانية؟",situative
31,q32,"Almanca'da ""gitmek"" fiilinin şimdiki zaman çekimi nedir?",situative
32,q33,Какие немецкие слова важны для поездки на общественном транспорте?,situative
36,q37,"как объяснить врачу на немецком, что у меня аллергия на определённые лекарства?",situative
37,q38,Yeni bir iş arıyorum ve iş görüşmesi için randevu almak istiyorum. Bunu Almanca nasıl ifade ederim?,situative
38,q39,"كيف أقول ""أحتاج إلى تجديد إقامتي، هل يمكنك مساعدتي في ملء النموذج؟"" بالألمانية؟",situative
39,q40,ما هي الكلمات التي أحتاجها لشرح الأعراض إذا كان لدي ألم في البطن عند زيارة الطبيب؟,situative
40,q41,أريد أن أعرف كيف يمكنني الاستفسار عن فتح حساب بنكي باللغة الألمانية؟,situative
41,q42,كيف أشرح لصاحب العمل أنني بحاجة لأخذ يوم إجازة بسبب مرضي؟,situative
42,q43,Almanca'da bir kira sözleşmesini nasıl tartışırım? Özellikle kira bedeli ve depozito hakkında bilgi almak istiyorum.,situative
43,q44,Doktora çocuklarımın aşı takvimi hakkında nasıl sorular sorabilirim? Almanca birkaç cümle örneği verir misiniz?,situative
44,q45,Komşularımla evin bahçesini ortak kullanım hakkında konuşmak istiyorum. Bunu Almanca nasıl söylerim?,situative
45,q46,Almanca olarak çocuklarımın okulda yaşadığı zorlukları öğretmene nasıl anlatabilirim?,situative
46,q47,"Какие фразы использовать, чтобы обсудить с арендодателем проблемы с отоплением в квартире?",situative
47,q48,"Как сказать на немецком, что мне нужно отпроситься с работы на полдня для визита к врачу?",situative
48,q49,Как спросить в немецком магазине электроники о гарантии на купленный товар?,situative
49,q50,Как на немецком рассказать воспитателю детского сада о привычках и предпочтениях моего ребёнка?,situative
50,q51,"Як пояснити на німецькій мові в банку, що я хочу змінити свій тарифний план на більш вигідний?",situative
51,q52,"Які фрази використовувати, щоб домовитися про зустріч із директором школи для обговорення успішності дитини?",situative
52,q53,Як на німецькій мові поскаржитися на шум від сусідів у житловому комплексі?,situative
53,q54,Як на німецькій мові звернутися до місцевої влади з проханням про ремонт дороги біля мого будинку?,situative
54,q55,"Welche Sätze kann ich verwenden, um in der Apotheke nach rezeptfreien Schmerzmitteln zu fragen?",situative
55,q56,كيف أطلب من زملائي في العمل التحدث ببطء لأنني لا أفهم الألمانية جيداً؟,situative
56,q57,Yeni taşındığım mahalledeki komşularımla tanışmak istiyorum. Almanca birkaç cümle önerir misiniz?,situative
57,q58,"Як на німецькій мові запитати в лікаря, чи потрібно мені робити спеціальні вправи для спини?",situative
