ID;query;generated;external check ;translation;context
q01;"Bitte übersetze mir folgenden Satz: ""Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat""";no;de;"Bitte übersetze mir folgenden Satz: ""Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat""";translation
q02;Übersetzen du mich Sazt Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat;no;de;Übersetzen du mich Sazt Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat;grammar
q03;"Переведи мне, пожалуйста, следующее предложение: ""Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat""";no;ru;"Bitte übersetze den folgenden Satz für mich: ""Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat""";translation
q04;"Bitte übersetze mir folgenden Satz: ""Он мне очень помог, переняв задачу""";no;ru;"Bitte übersetze mir folgenden Satz: ""Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat""";translation
q05;"Bitte übersetze mir folgenden Satz ins Russische: ""Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat""";no;de;"Bitte übersetze mir folgenden Satz ins Russische: ""Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat""";translation
q06;Übersetzen mir das Sazt ins Russische Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat;no;ru;Übersetzen mir das Sazt ins Russische Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat;translation
q07;Bitte übersetze mir folgenden Satz Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat ins Russische;no;ru;Bitte übersetze mir folgenden Satz Er hat mir sehr geholfen, indem er die Aufgabe übernommen hat ins Russische;translation
q08;"Erkläre mir, wie man ""weil"" benutzt";no;de;"Erkläre mir, wie man ""weil"" benutzt";grammar
q09;Erklärt wie Mann weil benutzt;no;de;Erklärt wie Mann weil benutzt;grammar
q10;"Объясни мне, пожалуйста, как использовать ""weil""";no;ru;"Bitte erkläre mir, wie man ""weil"" verwendet.";grammar
q11;"Erkläre mir, wie man ""weil"" benutzt, und gib dazu Beispiele";no;de;"Erkläre mir, wie man ""weil"" benutzt, und gib dazu Beispiele";grammar
q12;Bitte schreibe mir einen Text zum Thema Politik in Deutschland;no;de;Bitte schreibe mir einen Text zum Thema Politik in Deutschland;situative
q13;Bitte gib mir einen Text zum Thema Politik in Deutschland, den ich mir zuhören kann;no;de;Bitte gib mir einen Text zum Thema Politik in Deutschland, den ich mir zuhören kann;situative
q14;Напиши мне, пожалуйста, текст к теме политика в Германии;no;ru;Напиши мне, пожалуйста, текст к теме политика в Германии;situative
q15;Дай мне, пожалуйста, текст к теме политика в Германии, который я смогу послушать;no;ru;Bitte gib mir einen Text zum Thema Politik in Deutschland, den ich mir anhören kann;situative
q16;"Как сказать ""я хочу пойти к врачу"" на немецком?";yes;ru;"Wie sagt man ""Ich möchte zum Arzt gehen"" auf Deutsch?";situative
q17;"""Ben hasta oldum"" cümlesini Almanca nasıl söylerim?";yes;tr;"Wie sage ich den Satz ""Ich bin krank"" auf Deutsch?";situative
q18;"Як сказати ""я хочу піти до лікаря"" німецькою?";yes;uk;"Wie sagt man ""Ich möchte zum Arzt gehen"" auf Deutsch?";situative
q19;Какие глаголы часто используются на кухне?;yes;ru;Welche Verben werden oft in der Küche verwendet?;situative
q20;Almancada mutfakta kullanılan yaygın fiiller nelerdir?;yes;tr;Welche Verben werden im Deutschen häufig in der Küche verwendet?;situative
q21;Які дієслова часто використовуються на кухні?;yes;uk;Welche Verben werden oft in der Küche verwendet?;situative
q22;"كيف أقول ""أريد الذهاب إلى الطبيب"" بالألمانية؟";yes;ar;"Wie sage ich ""Ich möchte zum Arzt gehen"" auf Deutsch?";situative
q23;ما هي الأفعال الشائعة التي تستخدم في المطبخ؟;yes;ar;Welche Verben werden in der Küche häufig verwendet?;situative
q24;"В чем разница между ""der"", ""die"" и ""das""?";yes;ru;"Was ist der Unterschied zwischen ""der"", ""die"" und ""das""?";grammar
q25;"У чому різниця між ""der"", ""die"" та ""das""?";yes;uk;"Was ist der Unterschied zwischen ""der"", ""die"" und ""das""?";grammar
q26;"""der"", ""die"" ve ""das"" arasındaki fark nedir?";yes;tr;"Was ist der Unterschied zwischen ""der"", ""die"" und ""das""?";grammar
q27;"ما الفرق بين ""der"", ""die""، و""das""؟";yes;ar;"Was ist der Unterschied zwischen ""der"", ""die"" und ""das""?";grammar
q28;"""Я учу немецкий"" як сказати німецькою?";yes;uk;"Wie sagt man ""Ich lerne Deutsch"" auf Deutsch?";translation
q29;"Wie sage ich ""я хочу есть"" auf Deutsch?";yes;ru;"Wie sage ich ""Ich bin hungrig"" auf Deutsch?";translation
q30;"""Ich bin glücklich"" nasıl Türkçe'ye çevrilir?";yes;tr;"Wie kann man ""Ich bin glücklich"" ins Türkische übersetzen?";translation
q31;"كيف أقول ""أحتاج إلى مساعدة"" بالألمانية؟";yes;ar;"Wie sage ich ""Ich brauche Hilfe"" auf Deutsch?";situative
q32;"Almanca'da ""gitmek"" fiilinin şimdiki zaman çekimi nedir?";yes;ar;"Wie lautet die Konjugation des Verbs ""gehen"" im Deutschen im Präsens?";situative
q33;Какие немецкие слова важны для поездки на общественном транспорте?;yes;ru;Welche deutschen Wörter sind für die Fahrt mit öffentlichen Verkehrsmitteln wichtig?;situative
q34;"كيف أقول ""أريد حجز موعد"" بالألمانية؟";yes;ar;"Wie sage ich ""Ich möchte einen Termin buchen"" auf Deutsch?";translation
q35;"Wie sage ich ""какой сегодня день?"" auf Deutsch?";yes;ru;"Wie sage ich ""Welcher Tag ist heute?"" auf Deutsch?";translation
q36;"Wie sage ich ""какое у вас расписание?"" auf Deutsch?";yes;ru;"Wie sage ich ""what is your schedule?"" auf Deutsch?";translation
q37;как объяснить врачу на немецком, что у меня аллергия на определённые лекарства?;yes;ru;Wie kann ich dem Arzt auf Deutsch erklären, dass ich gegen bestimmte Medikamente allergisch bin?;situative
q38;Yeni bir iş arıyorum ve iş görüşmesi için randevu almak istiyorum. Bunu Almanca nasıl ifade ederim?;yes;tr;Ich bin auf der Suche nach einem neuen Job und möchte einen Termin für ein Vorstellungsgespräch vereinbaren. Wie drücke ich das auf Deutsch aus?;situative
q39;"كيف أقول ""أحتاج إلى تجديد إقامتي، هل يمكنك مساعدتي في ملء النموذج؟"" بالألمانية؟";yes;ar;"Wie sage ich ""Ich muss meine Aufenthaltsgenehmigung verlängern, kannst du mir helfen, das Formular auszufüllen?"" Auf Deutsch?";situative
q40;ما هي الكلمات التي أحتاجها لشرح الأعراض إذا كان لدي ألم في البطن عند زيارة الطبيب؟;yes;ar;Welche Worte brauche ich, um die Symptome zu erklären, wenn ich Bauchschmerzen habe, wenn ich zum Arzt gehe?;situative
q41;أريد أن أعرف كيف يمكنني الاستفسار عن فتح حساب بنكي باللغة الألمانية؟;yes;ar;Ich möchte wissen, wie ich mich über die Eröffnung eines Bankkontos auf Deutsch erkundigen kann?;situative
q42;كيف أشرح لصاحب العمل أنني بحاجة لأخذ يوم إجازة بسبب مرضي؟;yes;ar;Wie erkläre ich meinem Arbeitgeber, dass ich wegen Krankheit einen Tag frei nehmen muss?;situative
q43;Almanca'da bir kira sözleşmesini nasıl tartışırım? Özellikle kira bedeli ve depozito hakkında bilgi almak istiyorum.;yes;tr;Wie bespreche ich einen Mietvertrag auf Deutsch? Ich möchte vor allem Informationen über den Mietpreis und die Kaution erhalten.;situative
q44;Doktora çocuklarımın aşı takvimi hakkında nasıl sorular sorabilirim? Almanca birkaç cümle örneği verir misiniz?;yes;tr;Welche Fragen kann ich dem Arzt über den Impfplan meiner Kinder stellen? Kannst du mir ein paar Beispiele für Sätze auf Deutsch geben?;situative
q45;Komşularımla evin bahçesini ortak kullanım hakkında konuşmak istiyorum. Bunu Almanca nasıl söylerim?;yes;tr;Ich würde gerne mit meinen Nachbarn über die gemeinsame Nutzung des Gartens sprechen. Wie sage ich das auf Deutsch?;situative
q46;Almanca olarak çocuklarımın okulda yaşadığı zorlukları öğretmene nasıl anlatabilirim?;yes;tr;Wie kann ich dem Lehrer auf Deutsch von den Schwierigkeiten meiner Kinder in der Schule erzählen?;situative
q47;Какие фразы использовать, чтобы обсудить с арендодателем проблемы с отоплением в квартире?;yes;ru;Welche Formulierungen sollte ich verwenden, um mit meinem Vermieter über Heizungsprobleme in der Wohnung zu sprechen?;situative
q48;Как сказать на немецком, что мне нужно отпроситься с работы на полдня для визита к врачу?;yes;ru;Wie sage ich auf Deutsch, dass ich mir einen halben Tag frei nehmen muss, um zum Arzt zu gehen?;situative
q49;Как спросить в немецком магазине электроники о гарантии на купленный товар?;yes;ru;Wie frage ich in einem deutschen Elektronikgeschäft nach der Garantie für einen gekauften Artikel?;situative
q50;Как на немецком рассказать воспитателю детского сада о привычках и предпочтениях моего ребёнка?;yes;ru;Wie kann ich der Erzieherin oder dem Erzieher von den Gewohnheiten und Vorlieben meines Kindes auf Deutsch erzählen?;situative
q51;Як пояснити на німецькій мові в банку, що я хочу змінити свій тарифний план на більш вигідний?;yes;uk;Wie erkläre ich der Bank auf Deutsch, dass ich meinen Tarifplan auf einen günstigeren umstellen möchte?;situative
q52;Які фрази використовувати, щоб домовитися про зустріч із директором школи для обговорення успішності дитини?;yes;uk;Welche Formulierungen sollte ich verwenden, um ein Treffen mit dem Schulleiter zu vereinbaren, um die Fortschritte meines Kindes zu besprechen?;situative
q53;Як на німецькій мові поскаржитися на шум від сусідів у житловому комплексі?;yes;uk;Wie beschwere ich mich auf Deutsch über Lärm von Nachbarn in einer Wohnanlage?;situative
